FIRST,LAST,Nation
Viktoriia,MESHKOVA,RUS
Andrea,KÜMIN,SUI
Sol,SA,KOR
Ashima,SHIRAISHI,USA
Oceania,MACKENZIE,AUS
Ai,MORI,JPN
Alex,JOHNSON,USA
Jessica,PILZ,AUT
Anouck,JAUBERT,FRA
Mei,KOTAKE,JPN
Elnaz,REKABI,IRI
Di,NIU,CHN
Brooke,RABOUTOU,USA
Julia,CHANOURDIE,FRA
Tatiana,SHEMULINKINA,RUS
Hung Ying,LEE,TPE
Allison,VEST,CAN
Andrea,ROJAS,ECU
Tiffany,MELIUS,AUS
Lan,KIM,KOR
Rong,JIANG,CHN
Aleksandra,MIROSLAW,POL
Iuliia,PANTELEEVA,RUS
Lucinda Ann,STIRLING,AUS
Puntarika,TUNYAVANICH,THA
Thais Makino,SHIRAIWA,BRA
YuZhen,BAIMA,CHN
Margarita,AGAMBAYEVA,KAZ
YiLing,SONG,CHN
Tamara,ULZHABAYEVA,KAZ
Prateeksha,ARUN,IND
Anna,DAVEY,AUS
RACHELLE,DE CHARMOY,RSA
Rebecca,FRANGOS,CAN
Jayati,GADAMSHETTY,IND
María Fernanda,GONZÁLEZ RÁMIREZ,MEX
Valeria,MACIAS FERREIRA,MEX
Assel,MARLENOVA,KAZ
Roxy,PERRY,AUS
Wai-ping,YU,HKG
Anna,BROZEK,POL
Patrycja,CHUDZIAK,POL
Jennifer Marie,DE LA TORRE,MEX
Arantza,FERNÁNDEZ GUTIERREZ,MEX
Dhanshri,LEKURWALA,IND
Hsiu-Ju,LIN,TPE
Arantza,LUNA VELASCO,MEX
Bianca,MAGALHAES DE CASTRO,BRA
Siddhi Shekhar,MANERIKAR,IND
Joanna,NEAME,GBR
Amour,PAZ,ISR
Tomoa,NARASAKI,JPN
Jakob,SCHUBERT,AUT
Yannick,FLOHÉ,GER
Kokoro,FUJII,JPN
Keita,DOHI,JPN
Adam,ONDRA,CZE
Rei,SUGIMOTO,JPN
Rudolph,RUANA,USA
Kai,HARADA,JPN
Jernej,KRUDER,SLO
Jan,HOJER,GER
Jongwon,CHON,KOR
Meichi,NARASAKI,JPN
Yoshiyuki,OGATA,JPN
Sean,MCCOLL,CAN
Manuel,CORNU,FRA
Nathaniel,COLEMAN,USA
Michael,PICCOLRUAZ,ITA
Hanwool,KIM,KOR
Anze,PEHARC,SLO
Sascha,LEHMANN,SUI
Alexander,MEGOS,GER
Domen,SKOFIC,SLO
Nicolas,COLLIN,BEL
Jason,HOLOWACH,CAN
Zach,GALLA,USA
Sean,BAILEY,USA
Egor,KRYACHKOV,RUS
Hannes,PUMAN,SWE
Gregor,VEZONIK,SLO
William,BOSI,GBR
Rishat,KHAIBULLIN,KAZ
YuFei,PAN,CHN
Thilo Jeldrik,SCHRÖTER,NOR
Carlos,GRANJA,ECU
Tim,REUSER,NED
Chia Hsiang,LIN,TPE
Yuval,SHEMLA,ISR
Stefano,GHISOLFI,ITA
Chi-fung,AU,HKG
Joe,GOODACRE,USA
Marcello,BOMBARDI,ITA
Ka-chun,YAU,HKG
Cheung-chi Shoji,CHAN,HKG
Jabee,KIM,KOR
Campbell,HARRISON,AUS
Davoud,REKABI,IRI
Ben,ABEL,AUS
Ludovico,FOSSALI,ITA
Nikolai,IARILOVETS,RUS
Thomas,FARRELL,AUS
Lucas,UCHIDA,CAN
Sirapob,JIRAJATURAPAK,THA
Aleksandr,SHIKOV,RUS
Bassa,MAWEM,FRA
QiXin,ZHONG,CHN
Romain,DESGRANGES,FRA
Cesar,GROSSO,BRA
Alexander,CVETKOVSKI,AUS
Jakub,KONECNY,CZE
Chingkheinganba,MAIBAM,IND
Dohyun,LEE,KOR
Ram,LEVIN,ISR
George,SANDERS,NZL
Danny,VALENCIA,ECU
John,BROSLER,USA
Loïc,TIMMERMANS,BEL
Yarden,PILPEL,ISR
Singh,ADARSH,IND
Gaurav,KUMAR,IND
Zaheer,AHMAD,PAK
Long,CAO,CHN
Marcin,DZIENSKI,POL
Emmanuel,ESTRADA DE ARTOLA,MEX
Akmal,JUMANIYAZOV,UZB
Sahil,KHAN,IND
Or,MINIELY,ISR
Winai,RUANGRIT,THA
Emilio,VALDEZ GARDUÑO,MEX
Ying-Chieh,WEN,TPE
Felipe,HO FOGANHOLO,BRA
Jan,KRIZ,CZE
Thattana,RAKSACHAT,THA
Santiago,GARCIA,ARG
Danyil,BOLDYREV,UKR
Calrin,CURTIS,RSA
Hritik,MARNE,IND
Javier Iván,MOLINA FRANCO,MEX
Margo,HAYES,USA
Natsuki,TANII,JPN
Chloe,CAULIER,BEL
Sierra,BLAIR-COYLE,USA
Vera,ZIJLSTRA,NED
Berit,SCHWAIGER,AUT
Mia,BAWENDI,USA
Piper,KELLY,USA
Madison,FISCHER,CAN
Molly,THOMPSON-SMITH,GBR
Muykuay,SILVA,CHI
Itziar,ZABALA ZURINAGA,ESP
Heeyeon,PARK,KOR
Katrine,VANDET SALLING,DEN
Laura,STÖCKLER,AUT
Noelia,VENET GALLEGOS,PER
Ana Belén,ARGUDO MARUGAN,ESP
Sofia Alejandra,HERRERA VEGA CENTENO,PER
Lilly,MAGDITSCH,AUS
Taisei,ISHIMATSU,JPN
Tomoaki,TAKATA,JPN
Matt,FULTZ,USA
Aidan,ROBERTS,GBR
Simon,LORENZI,BEL
Héctor Adrián,MARTÍNEZ CORDERO,MEX
Nathan,SMITH,CAN
Josh,LEVIN,USA
Diego,LEQUERICA,PER
Leonardo,DE RIVERO HUAMAN,PER
Franz Josef,WEBER,MEX
German David,SANCHEZ,MEX
Alejandro,MARTINEZ CORDERO,MEX
Franklin,CARDENAS VICENTE,PER
Anna,LECHNER,GER
Charlène,TILBORGHS,BEL
Elsa,RAVINET,FRA
Anastasiia,TISHCHENKO,UKR
Danai,VALSAMIDI,GRE
Eszter Evelin,FORGÁCS,HUN
Desislava,DIMOVA,BUL
Alma,MARKMAN,ISR
Valeriia,HRITSKOVA,UKR
Luise,SVENSSON,GER
Lili,CORNELY,GER
Tine,WALRAEVENS,BEL
Charlotte,WEYNANTS,BEL
Ite,LEMIÈRE,BEL
Karolina,GENDOVA,CZE
Anna,BAKURECZ,HUN
Kateryna,SHEVCHENKO,UKR
Yuliya,NIKIFARAVETS,BLR
Yoanna,NEDYALKOVA,BUL
